application_id,company_name,job_role,application_date,job_type,platform,status,salary_expectation,experience_required_years,company_rating
1,Spotify,Data Analyst,2024-04-01,Full-time,Company Website,Selected,133555,0,2.8
2,Netflix,Frontend Developer,2024-03-15,Internship,LinkedIn,Applied,137539,2,2.8
3,Uber,Data Analyst,2024-01-04,Internship,Indeed,Assessment Pending,48313,3,2.8
4,OpenAI,Data Analyst,2024-03-19,Full-time,LinkedIn,Applied,143175,4,2.8
5,Spotify,Frontend Developer,2024-01-06,Full-time,Indeed,Phone Screen,96549,1,2.8
6,Oracle,Software Engineer,2024-04-27,Full-time,Naukri,Interview Scheduled,144914,2,2.8
7,Amazon,Data Analyst,2024-04-22,Internship,Indeed,Selected,53705,0,2.8
8,Spotify,Frontend Developer,2024-04-03,Internship,Indeed,Phone Screen,97364,2,2.8
9,Uber,Backend Developer,2024-04-29,Remote,Referral,Interview Scheduled,103445,2,2.8
10,OpenAI,ML Engineer,2024-04-11,Contract,Company Website,Phone Screen,133892,2,2.8
11,Netflix,ML Engineer,2024-02-20,Full-time,Company Website,Assessment Pending,108645,2,2.8
12,Uber,Data Analyst,2024-03-02,Internship,Naukri,Selected,32023,1,2.8
13,Uber,Software Engineer,2024-02-26,Internship,Naukri,Applied,149654,3,2.8
14,Amazon,Software Engineer,2024-03-06,Full-time,Company Website,Applied,89796,4,2.8
15,Adobe,Backend Developer,2024-03-19,Contract,Referral,Interview Scheduled,110073,2,2.8
16,OpenAI,Data Analyst,2024-03-15,Full-time,Company Website,Rejected,122197,2,2.8
17,Microsoft,ML Engineer,2024-01-08,Contract,Referral,Assessment Pending,94429,2,2.8
18,Uber,Software Engineer,2024-01-26,Internship,Naukri,Interview Scheduled,134195,3,2.8
19,Adobe,Data Analyst,2024-02-20,Contract,LinkedIn,Rejected,91627,0,2.8
20,Microsoft,AI Research Intern,2024-02-14,Remote,Naukri,Phone Screen,63848,0,2.8
21,OpenAI,Software Engineer,2024-02-13,Internship,Naukri,Assessment Pending,67804,1,2.8
22,Google,Frontend Developer,2024-01-05,Remote,Indeed,Phone Screen,45379,0,2.8
23,Oracle,AI Research Intern,2024-03-10,Full-time,Indeed,Selected,89664,2,2.8
24,Adobe,Software Engineer,2024-01-26,Full-time,Indeed,Assessment Pending,57766,2,2.8
25,Meta,ML Engineer,2024-04-27,Full-time,Indeed,Rejected,139126,2,2.8
26,Google,Data Scientist,2024-03-08,Contract,Referral,Selected,98099,1,2.8
